Name,Team,ERA
AJ Smith-Shawver,ATL,3.9
Thomas White,MIA,4.26
Sean Manaea,NYM,4.51
Mick Abel,MIN,4.46
David Davalillo,TEX,4.53
Didier Fuentes,ATL,4.45
Max Scherzer,TOR,4.23
Gavin Stone,LAD,4.66
Sean Burke,CHW,4.66
Joe Rock,TBR,4.3
Pierson Ohl,COL,4.1
TJ Nichols,TBR,4.68
Jhonathan Díaz,SEA,4.14
JR Ritchie,ATL,4.41
Brant Hurter,DET,3.87
Konner Eaton,COL,4.98
Anthony Kay,CHW,4.67
Trey Gibson,BAL,4.53
Carlos Rodriguez,MIL,4.56
Slade Cecconi,CLE,4.38
Will Dion,CLE,4.15
Kumar Rocker,TEX,4.21
Eric Lauer,TOR,4.25
Leandro Lopez,TEX,4.55
Nestor Cortes,,4.19
Blade Tidwell,SFG,4.33
George Klassen,LAA,4.68
Zach Eflin,BAL,4.38
Coleman Crow,MIL,4.11
Steven Matz,TBR,3.84
Bailey Falter,KCR,4.49
Ryan Weathers,NYY,4.48
Jordan Montgomery,TEX,4.46
Josh Winckowski,TOR,4.08
Austin Peterson,CLE,4.37
Ryan Gusto,MIA,4.56
Kutter Crawford,BOS,4.47
Luis Ortiz,CLE,3.98
Ben Hess,NYY,4.61
Darren McCaughan,CIN,4.71
Allan Winans,,4.56
Tobias Myers,NYM,4.38
Mason Montgomery,PIT,3.84
Luis Gil,NYY,4.61
Logan Workman,TBR,4.73
Hunter Barco,PIT,4.23
Blake Money,BAL,4.59
Kendry Rojas,MIN,4.36
Chase Petty,CIN,5.51
Andrew Painter,PHI,4.8
Tanner Gordon,COL,5.32
Tyson Hardin,MIL,4.45
Aaron Civale,ATH,4.57
Patrick Corbin,,5.2
Cristian Javier,HOU,4.35
José Suarez,ATL,4.16
Cody Bradford,TEX,4.42
Justin Hagenman,NYM,4.46
Hayden Birdsong,SFG,4.47
Brandon Walter,HOU,3.93
José Berríos,TOR,4.51
Connor Noland,CHC,4.46
Jedixson Paez,CHW,4.44
Keider Montero,DET,4.51
Alan Rangel,PHI,4.95
Michael Lorenzen,COL,4.86
Yordanny Monegro,BOS,4.28
Jonathan Santucci,NYM,4.7
Tyler Mahle,SFG,3.92
Germán Márquez,SDP,5.31
Kade Morris,ATH,4.67
Austin Gomber,TEX,5.2
Jose Quintana,COL,4.31
Caleb Boushley,,4.66
Juaron Watts-Brown,BAL,4.68
Ryan Bergert,KCR,4.46
Mitch Farris,LAA,4.89
Tekoah Roby,STL,4.2
Nestor German,BAL,4.73
Yu Darvish,SDP,4.5
Kyle Hendricks,,5.16
Michael Soroka,ARI,4.12
Riley Gowens,CHW,4.9
Dane Dunning,SEA,4.34
Grant Rogers,TOR,4.78
Drew Rom,MIL,4.19
Michael Forret,TBR,4.52
Jack Wenninger,NYM,4.7
Nathan Wiles,,4.3
Gordon Graceffo,STL,4.37
Mike Vasil,CHW,4.23
Jaron DeBerry,MIL,4.6
Joey Wentz,ATL,4.54
Henry Baez,ATH,4.47
Yorman Gómez,CLE,4.4
Kyle Gibson,,4.88
Trevor McDonald,SFG,4.36
Daniel Eagen,ARI,4.12
Mason Englert,TBR,3.97
Sammy Peralta,MIL,4.05
Sawyer Gipson-Long,DET,4.34
Landon Knack,LAD,5.16
Joander Suarez,NYM,4.56
Sean Newcomb,CHW,4
Khal Stephen,CLE,4.41
Ryan Feltner,COL,5.17
Ronel Blanco,HOU,4.2
Connor Thomas,ATL,4.46
Carlos Lagrange,NYY,4.84
AJ Blubaugh,HOU,4.45
Brad Lord,WSN,4.62
Chris Paddack,MIA,5.1
Brady Basso,ATH,4.22
Trenton Denholm,CLE,4.43
Jake Woodford,MIL,4.7
Aaron Ashby,MIL,3.95
Sean Boyle,SDP,4.57
Tate Kuehner,MIL,4.5
Thomas Harrington,PIT,4.54
Antwone Kelly,PIT,4.39
Emerson Hancock,SEA,4.46
R.J. Gordon,NYM,4.85
Kyle Wright,CHC,4.52
Chase Dollander,COL,5.08
Quinn Mathews,STL,4.37
Cal Quantrill,TEX,5.14
Bobby Miller,LAD,5.04
Yoendrys Gómez,TBR,4.44
Jackson Kent,WSN,5.01
Gabriel Hughes,COL,5.02
Randy Vásquez,SDP,4.68
Jonathan Pintaro,NYM,4.1
Alek Manoah,LAA,4.66
Adam Seminaris,PHI,4.84
Logan Evans,SEA,4.39
Paul Blackburn,NYY,4.96
Noah Schultz,CHW,4.79
Keaton Winn,SFG,4.12
DJ Herz,WSN,4.48
Kolby Allard,CLE,4.1
Braxton Bragg,BAL,4.48
Richard Fitts,STL,4.32
Dylan Ray,ARI,4.5
Shane Murphy,CHW,4.85
Travis Adams,MIN,4.55
Kohl Drake,ARI,4.19
Andrew Heaney,,4.91
Dax Fulton,MIA,4.7
Wilber Dotel,PIT,4.61
Mason Black,KCR,5
Fernando Perez,TOR,4.8
Brent Headrick,NYY,4.14
Bruce Zimmermann,STL,4.53
Will Sanders,CHC,4.57
Thomas Hatch,ARI,4.24
Tanner McDougal,CHW,4.94
Dylan Dodd,ATL,4.11
Carson Spiers,CIN,5.22
Josh Stephan,TEX,4.93
Ixan Henderson,STL,4.5
Gabe Mosser,SEA,4.66
Drey Jameson,ARI,3.92
Carson Seymour,SFG,4.23
Ben Kudrna,KCR,4.85
Matt Sauer,,5.03
Josh Hartle,CLE,4.41
Brandon Young,BAL,4.54
Sem Robberse,STL,4.48
JP Sears,SDP,4.68
Max Meyer,MIA,4.46
Paxton Schultz,WSN,4.44
Nabil Crismatt,TEX,4.89
Doug Nikhazy,CLE,4.5
Spencer Arrighetti,HOU,4.36
Chandler Champlain,,5
Shane Drohan,MIL,4.62
Alec Marsh,KCR,4.88
Jake Brooks,COL,5.12
Seth Shuman,WSN,4.71
Christian Scott,NYM,4.55
Roansy Contreras,,4.99
Sauryn Lao,,4.42
Matt Waldron,SDP,4.96
Cooper Criswell,SEA,4.24
Charlie Barnes,CHC,5.35
Hagen Smith,CHW,4.88
Tyler Stuart,WSN,4.5
Kyle Hart,SDP,4.57
Jackson Wolf,SDP,4.77
J.P. France,HOU,4.17
Spencer Giesting,ARI,4.43
Brody Hopkins,TBR,4.73
Wes Benjamin,,4.57
Caden Dana,LAA,4.91
Clayton Beeter,WSN,4.17
Javier Assad,CHC,4.06
Brycen Mautz,STL,4.64
Jesse Scholtens,TBR,4.52
Adam Kloffenstein,NYY,4.88
Michael Grove,LAD,4.68
Garrett Burhenn,DET,4.93
Pedro Avila,CLE,4.21
Tyler Alexander,TEX,4.85
Joe Whitman,SFG,4.72
Tyler Anderson,LAA,4.85
Daniel Lynch IV,KCR,4.35
Forrest Whitley,,4.42
DL Hall,MIL,4.16
Luis Medina,ATH,4.72
Joey Estes,ATH,5.12
Tyler Wells,BAL,4.44
Jacob Latz,TEX,4.46
Kyle Tyler,,4.94
JT Brubaker,SFG,4.36
Jarlin Susana,WSN,4.8
Easton Lucas,,4.74
Jhancarlos Lara,ATL,4.25
Lance McCullers Jr.,HOU,4.41
Ben Shields,COL,4.81
Ken Waldichuk,WSN,4.84
Hunter Dobbins,STL,4.57
Tucker Davidson,PHI,4.77
Luinder Avila,KCR,4.46
Santiago Suarez,TBR,4.94
Aaron Wilkerson,,4.8
Chase Silseth,LAA,4.36
Lazaro Estrada,TOR,4.67
Zach Thornton,NYM,4.65
Jake Eder,WSN,4.92
Ty Madden,DET,4.71
Chris Campos,LAD,5.26
Ian Mejia,ATL,4.61
Angel Bastardo,TOR,4.44
Brett Sears,ATL,4.89
CJ Van Eyk,TOR,4.75
Tink Hence,STL,4.32
Luis Perales,WSN,4.39
Drew Thorpe,CHW,4.86
Jacob Miller,MIA,4.79
Hogan Harris,ATH,4.21
Sean Sullivan,COL,5.33
Pete Hansen,STL,4.69
Jackson Ferris,LAD,5.2
Jordan Hicks,CHW,4.56
Tyler Phillips,MIA,4.32
Tyler Schweitzer,CHW,4.95
Marcus Stroman,,4.76
Dom Hamel,NYY,4.91
Tony Gonsolin,,4.9
Tristan Beck,SFG,4.07
Ty Cummings,TBR,4.93
Hunter Owen,KCR,4.86
Winston Santos,TEX,4.95
John Klein,MIN,4.68
David Sandlin,CHW,4.62
Ryan Gallagher,MIN,5.11
Jhony Brito,SDP,4.33
Ben Lively,CLE,4.57
Nick Margevicius,SFG,4.31
Sean Hjelle,,4.25
Jake Bennett,BOS,4.68
Steven Zobac,KCR,4.88
Patrick Monteverde,MIA,4.5
Will Watson,NYM,4.98
Randy Dobnak,SEA,4.24
McCade Brown,COL,5.21
Miles Mikolas,WSN,4.86
Jake Irvin,WSN,5.01
Griff McGarry,PHI,4.68
Ian Anderson,,4.57
Ben Casparius,LAD,4.8
Braden Nett,ATH,4.97
Hayden Wesneski,HOU,4.42
Miguel Ullola,HOU,4.49
Kyle Hurt,LAD,4.77
Jack Cushing,,4.59
Jack Anderson,BOS,4.52
Chris Clarke,,4.5
Osvaldo Bido,ATL,4.75
James Hicks,HOU,4.36
Yu-Min Lin,ARI,4.5
Alex Faedo,,4.52
Michael Kopech,,4.43
Garrett Stallings,MIL,4.74
Daniel Espino,CLE,4.27
Easton McGee,MIL,4.06
Jack O'Loughlin,,4.71
Michael Plassmeyer,TOR,4.75
