Name,Team,ERA
Miguel Cienfuegos,SDP,4.95
Brandyn Garcia,ARI,4.39
Emmanuel Chapman,PIT,4.82
Yoniel Curet,PHI,5.59
Caleb Bolden,BOS,5.12
Drew Parrish,,5.84
Brett Wichrowski,MIL,5.4
Devereaux Harrison,TOR,5.24
Nate Peterson,CIN,5.88
Junior Santos,,5.18
Reggie Crawford,SFG,5.21
Nick Fraze,,4.98
Ryan Garcia,,5.67
Houston Roth,SEA,4.91
Nick Krauth,TEX,5.71
Antonio Jimenez,,4.63
Michael Cuevas,,5.38
Jake Walkinshaw,MIA,5.28
Carter Spivey,CLE,5.05
Levi Stoudt,PHI,5.43
Miguel Mendez,SDP,5.42
Rhett Kouba,,4.94
Victor Lizarraga,SDP,5.54
William Fleming,,5.14
Juan Mercedes,,5.16
Tyler Cleveland,SEA,4.95
Danny Wirchansky,SEA,5.16
Carlos Tavera,BAL,5.36
Nick Morreale,,4.94
Cooper Adams,BOS,5.06
Tanner Burns,CLE,4.77
Michael Dominguez,,5.31
Noah Song,BOS,5.32
Misael Tamarez,SDP,5.04
Florencio Serrano,,5.68
Carlos Duran,LAD,5.75
Ryan Cusick,PHI,5.56
Justin Dunn,,5.5
Joey Mancini,HOU,5.19
Nick Hull,CHC,4.99
Triston McKenzie,SDP,5.1
Ike Buxton,,5.37
Daniel Lloyd,BAL,5.03
Fernando Sanchez,SDP,4.92
Tyler Santana,CHC,4.98
Jerming Rosario,LAD,5.71
Darren Bowen,MIN,5.68
Joel Valdez,CIN,5.88
Ross Carver,CLE,5.02
Jaylen Nowlin,MIN,5.29
Bobby Milacki,,5.14
Zach Willeman,,5.59
Juan Nuñez,BAL,5.74
Frank Mozzicato,KCR,5.57
Erik Tolman,WSN,5.54
Tommy Romero,,5.29
Shane Rademacher,SFG,5.31
Bryce Osmond,LAA,6
Nick Garcia,SEA,5.16
Preston Johnson,,5.09
Erian Rodriguez,CHC,5.47
Michael Mariot,,5.19
Jordany Ventura,,5.33
Ethan Bosacker,KCR,5.72
Jesus Cruz,,6.12
Orlando Ortiz-Mayr,MIA,5.48
Baron Stuart,NYY,5.63
Luis Angel Rodriguez,,5.4
Casey Anderson,ARI,5.07
Gabriel Jackson,,5.18
Jarod Bayless,PIT,5.21
Parker Dunshee,,5.4
Geison Urbaez,TOR,5.4
Donovan Benoit,,5.76
Nick Nastrini,LAD,5.81
Wander Guante,,5.4
Hunter Parks,CIN,6.28
Ryan Long,BAL,5.72
Jared Kollar,SDP,5.53
Jacob Meador,,5.98
Logan Clayton,,5.34
Thomas Farr,CIN,6.33
Stiven Cruz,MIL,5.35
Ryan Cardona,,6.38
Sam Whiting,,5.92
Adonis Medina,,5.71
Gabe Bierman,MIA,5.22
Connor Staine,COL,6.41
Adam Tulloch,CLE,5.24
Tommy Mace,CLE,5.31
Alonzo Richardson,CLE,5.42
Manuel Mercedes,SFG,5.59
Beck Way,KCR,5.53
Luke Young,WSN,5.89
Casey Kelly,,5.23
Wyatt Olds,BOS,5.32
Carson Rudd,,6.34
Tyler Guilfoil,,5.33
Arij Fransen,,6.51
Nate Savino,ARI,5.31
