Name,Team,ERA
Parker Messick,Cleveland Indians,3.98
Troy Melton,Detroit Tigers,4.19
Patrick Sandoval,Boston Red Sox,4.21
Brendan Beck,New York Yankees,4.42
Brian Van Belle,Tampa Bay Rays,4.38
Clarke Schmidt,New York Yankees,4.19
Dustin May,St. Louis Cardinals,4.15
John Holobetz,Boston Red Sox,4.49
Cristian Mena,Arizona Diamondbacks,3.83
Jack Perkins,Athletics,3.89
Andre Pallante,St. Louis Cardinals,4.3
Joe Boyle,Tampa Bay Rays,4.21
Jared Jones,Pittsburgh Pirates,4.05
Robbie Ray,San Francisco Giants,4.04
Kyle Harrison,Milwaukee Brewers,4.34
Chen Zhong-Ao Zhuang,Athletics,4.55
Braxton Garrett,Miami Marlins,3.93
Ethan Pecko,Houston Astros,3.9
Colton Gordon,Houston Astros,4.35
Mart�n P�rez,Atlanta Braves,4.46
Ty Johnson,Tampa Bay Rays,4.21
Andrew Alvarez,Washington Nationals,4.57
Mitch Spence,Kansas City Royals,4.49
Lucas Giolito,,4.65
Joe Musgrove,San Diego Padres,3.87
Hurston Waldrep,Atlanta Braves,4.27
Cade Cavalli,Washington Nationals,4.47
Johan Oviedo,Boston Red Sox,4.28
Justin Wrobleski,Los Angeles Dodgers,4.42
Connor Prielipp,Minnesota Twins,4.12
Robert Gasser,Milwaukee Brewers,3.99
Foster Griffin,Washington Nationals,4.31
Adam Mazur,Miami Marlins,4.45
Elmer Rodr�guez,New York Yankees,4.6
Adrian Houser,San Francisco Giants,4.12
J.T. Ginn,Athletics,4.41
Rhett Lowder,Cincinnati Reds,4.71
Duncan Davitt,Chicago White Sox,4.82
Seth Lugo,Kansas City Royals,4.29
Carson Whisenhunt,San Francisco Giants,4.41
Tyler Uberstine,Boston Red Sox,4.38
Colin Rea,Boston Red Sox,4.39
Ryan Johnson,Kansas City Royals,4.24
Jordan Wicks,Boston Red Sox,4.02
K.C. Hunt,Milwaukee Brewers,4.49
Jonathan Cannon,Chicago White Sox,4.85
AJ Smith-Shawver,Atlanta Braves,3.9
Thomas White,Miami Marlins,4.26
Sean Manaea,New York Mets,4.51
Mick Abel,Minnesota Twins,4.46
David Davalillo,Texas Rangers,4.53
Didier Fuentes,Atlanta Braves,4.45
Max Scherzer,Toronto Blue Jays,4.23
Gavin Stone,Los Angeles Dodgers,4.66
Sean Burke,Chicago White Sox,4.66
Joe Rock,Tampa Bay Rays,4.3
Pierson Ohl,Colorado Rockies,4.1
TJ Nichols,Tampa Bay Rays,4.68
Jhonathan D�az,Seattle Mariners,4.14
JR Ritchie,Atlanta Braves,4.41
Brant Hurter,Detroit Tigers,3.87
Konner Eaton,Colorado Rockies,4.98
Anthony Kay,Chicago White Sox,4.67
Trey Gibson,Baltimore Orioles,4.53
Carlos Rodriguez,Milwaukee Brewers,4.56
Slade Cecconi,Cleveland Indians,4.38
Will Dion,Cleveland Indians,4.15
Kumar Rocker,Texas Rangers,4.21
Eric Lauer,Toronto Blue Jays,4.25
Leandro Lopez,Texas Rangers,4.55
