Name,Team,IP,WAR,war_per_200
Drew Thorpe,Chicago White Sox,76.2,0.6,1.57480315
Hagen Smith,Chicago White Sox,89.1,0.7,1.571268238
A.J. Minter,New York Mets,51,0.4,1.568627451
Ken Waldichuk,Washington Nationals,77.1,0.6,1.556420233
Khal Stephen,Cleveland Guardians,90.2,0.7,1.55210643
AJ Blubaugh,Houston Astros,116.1,0.9,1.550387597
Thomas Harrington,Pittsburgh Pirates,103.2,0.8,1.550387597
Andrew Hoffmann,Arizona Diamondbacks,78,0.6,1.538461538
Gabe Speier,Seattle Mariners,52,0.4,1.538461538
Matt Gage,San Francisco Giants,52,0.4,1.538461538
Dauri Moreta,#N/A,52,0.4,1.538461538
Carson Spiers,Cincinnati Reds,91.1,0.7,1.536772777
Mitch Spence,Kansas City Royals,117.2,0.9,1.535836177
Jack Wenninger,New York Mets,117.2,0.9,1.535836177
Ian Hamilton,Atlanta Braves,52.1,0.4,1.535508637
Hunter Dobbins,St. Louis Cardinals,78.2,0.6,1.534526854
Angel Bastardo,Boston Red Sox,78.2,0.6,1.534526854
Nick Dean,Chicago Cubs,65.2,0.5,1.533742331
Trevor Williams,Washington Nationals,65.2,0.5,1.533742331
Alex Lange,Kansas City Royals,39.2,0.3,1.530612245
Rob Zastryzny,Milwaukee Brewers,39.2,0.3,1.530612245
Mitch Farris,Los Angeles Angels,118.1,0.9,1.524132091
Patrick Monteverde,Miami Marlins,92,0.7,1.52173913
Roansy Contreras,#N/A,92,0.7,1.52173913
Adam Kloffenstein,New York Yankees,92.1,0.7,1.520086862
Jacob Latz,Texas Rangers,79.2,0.6,1.515151515
James Hicks,Houston Astros,66,0.5,1.515151515
Eduard Bazardo,Seattle Mariners,66,0.5,1.515151515
Ian Anderson,#N/A,66.1,0.5,1.512859304
Connor Noland,Chicago Cubs,119.2,0.9,1.510067114
Mike Vasil,Chicago Cubs,106.1,0.8,1.50801131
Charlie Barnes,Chicago Cubs,106.1,0.8,1.50801131
Micah Ashman,Baltimore Orioles,53.1,0.4,1.506591337
Matt Sauer,#N/A,93,0.7,1.505376344
Colin Rea,Chicago Cubs,133,1,1.503759398
Julian Fernández,Washington Nationals,53.2,0.4,1.503759398
Joel Kuhnel,Arizona Diamondbacks,53.2,0.4,1.503759398
Kyle Gibson,#N/A,120,0.9,1.5
Pedro Avila,Cleveland Guardians,80,0.6,1.5
Joe Mantiply,Toronto Blue Jays,40.1,0.3,1.496259352
Jake Bennett,Boston Red Sox,67,0.5,1.492537313
Alec Marsh,Kansas City Royals,94,0.7,1.489361702
Emerson Hancock,Seattle Mariners,121.1,0.9,1.486374897
Jackson Kent,Washington Nationals,108,0.8,1.481481481
Michael Fulmer,San Francisco Giants,54.1,0.4,1.478743068
Austin Bergner,Texas Rangers,81.2,0.6,1.477832512
Kevin Herget,New York Mets,54.2,0.4,1.47601476
Kyle Hendricks,#N/A,122,0.9,1.475409836
Landon Knack,Los Angeles Dodgers,122,0.9,1.475409836
Tyler Alexander,Texas Rangers,95.1,0.7,1.472134595
Taylor Rashi,Arizona Diamondbacks,68,0.5,1.470588235
Mason Black,Kansas City Royals,109,0.8,1.467889908
Ronel Blanco,Houston Astros,109.1,0.8,1.466544455
Brenan Hanifee,Detroit Tigers,68.2,0.5,1.46627566
Keider Montero,Detroit Tigers,123.1,0.9,1.462225833
Santiago Suarez,Tampa Bay Rays,82.1,0.6,1.461632156
Jake Eder,Los Angeles Dodgers,82.1,0.6,1.461632156
José Berríos,Toronto Blue Jays,123.2,0.9,1.461038961
Jordan Romano,Los Angeles Angels,41.1,0.3,1.459854015
Spencer Arrighetti,Houston Astros,96.2,0.7,1.455301455
Josh Stephan,Texas Rangers,96.2,0.7,1.455301455
Carl Edwards Jr.,New York Mets,55,0.4,1.454545455
Lucas Erceg,Kansas City Royals,55,0.4,1.454545455
Amos Willingham,Houston Astros,55.1,0.4,1.451905626
Bryan Hoeing,San Diego Padres,69,0.5,1.449275362
Alek Manoah,Los Angeles Angels,83,0.6,1.445783133
Winston Santos,Texas Rangers,83.1,0.6,1.444043321
Daniel Lynch IV,Kansas City Royals,97.2,0.7,1.440329218
Trenton Denholm,Cleveland Guardians,111.2,0.8,1.438848921
Wilber Dotel,Pittsburgh Pirates,111.2,0.8,1.438848921
Alex Pham,Baltimore Orioles,70,0.5,1.428571429
Jordan Leasure,Chicago Cubs,56,0.4,1.428571429
Bradgley Rodriguez,San Diego Padres,56,0.4,1.428571429
John Schreiber,Kansas City Royals,56,0.4,1.428571429
Alan Rangel,Philadelphia Phillies,112.1,0.8,1.427297056
Sean Boyle,San Diego Padres,112.2,0.8,1.426024955
Logan Evans,Seattle Mariners,112.2,0.8,1.426024955
Dylan Smith,San Francisco Giants,56.1,0.4,1.426024955
Seranthony Domínguez,Chicago Cubs,56.1,0.4,1.426024955
Garrett Hawkins,San Diego Padres,56.1,0.4,1.426024955
Ben Kudrna,Kansas City Royals,98.2,0.7,1.425661914
Sean Hjelle,#N/A,84.2,0.6,1.425178147
Gregory Santos,San Francisco Giants,42.1,0.3,1.425178147
Justin Slaten,Boston Red Sox,42.1,0.3,1.425178147
Emilio Pagán,Cincinnati Reds,56.2,0.4,1.423487544
Luke Little,Chicago Cubs,56.2,0.4,1.423487544
Grant Rogers,Toronto Blue Jays,127.2,0.9,1.41509434
Brad Lord,Washington Nationals,113.1,0.8,1.414677277
R.J. Gordon,New York Mets,113.1,0.8,1.414677277
McCade Brown,Colorado Rockies,85,0.6,1.411764706
Ty Madden,Detroit Tigers,85.1,0.6,1.410105758
Jake Bird,New York Yankees,71,0.5,1.408450704
Grant Holmes,Atlanta Braves,71.1,0.5,1.406469761
José Urquidy,Pittsburgh Pirates,71.2,0.5,1.404494382
Will Johnston,Arizona Diamondbacks,71.2,0.5,1.404494382
Tyler Kinley,Atlanta Braves,57,0.4,1.403508772
Austin Gomber,Texas Rangers,100,0.7,1.4
Connor McCullough,Chicago Cubs,57.2,0.4,1.398601399
Manuel Rodríguez,Tampa Bay Rays,43,0.3,1.395348837
Ricky Tiedemann,Toronto Blue Jays,43,0.3,1.395348837
Jackson Stephens,#N/A,43,0.3,1.395348837
Jack O'Loughlin,#N/A,72,0.5,1.388888889
Joey Gerber,New York Mets,43.2,0.3,1.388888889
Jesus Tinoco,Miami Marlins,43.2,0.3,1.388888889
C.J. Culpepper,Minnesota Twins,72.2,0.5,1.385041551
Zack Thompson,St. Louis Cardinals,72.2,0.5,1.385041551
Tomoyuki Sugano,Colorado Rockies,130.2,0.9,1.382488479
JoJo Romero,St. Louis Cardinals,58,0.4,1.379310345
Yaramil Hiraldo,Baltimore Orioles,58,0.4,1.379310345
Carlos Hernández,Cleveland Guardians,58,0.4,1.379310345
David Sandlin,Chicago Cubs,87.1,0.6,1.377726751
Braden Nett,Athletics,87.1,0.6,1.377726751
Josh White,Miami Marlins,58.2,0.4,1.374570447
Josh Hartle,Cleveland Guardians,102,0.7,1.37254902
Jake Brooks,Colorado Rockies,102,0.7,1.37254902
Nestor German,Baltimore Orioles,102.1,0.7,1.371204701
Joey Estes,Arizona Diamondbacks,102.1,0.7,1.371204701
Zach Penrod,Washington Nationals,44,0.3,1.363636364
Kirby Yates,Los Angeles Angels,44.1,0.3,1.360544218
Joe Whitman,San Francisco Giants,103,0.7,1.359223301
Chris Campos,Los Angeles Dodgers,103.1,0.7,1.357904947
CJ Van Eyk,Toronto Blue Jays,103.1,0.7,1.357904947
Shane Murphy,Chicago Cubs,103.2,0.7,1.356589147
Kevin Kelly,Tampa Bay Rays,59,0.4,1.355932203
Emiliano Teodo,Texas Rangers,59.2,0.4,1.351351351
Domingo Robles,Arizona Diamondbacks,74.1,0.5,1.349527665
Lazaro Estrada,Toronto Blue Jays,89,0.6,1.348314607
Javier Assad,Chicago Cubs,104,0.7,1.346153846
Ryan Gallagher,Minnesota Twins,104,0.7,1.346153846
Gabe Mosser,Seattle Mariners,104,0.7,1.346153846
Michael Plassmeyer,Toronto Blue Jays,89.2,0.6,1.34529148
Cal Quantrill,Texas Rangers,119.1,0.8,1.3434089
Brycen Mautz,St. Louis Cardinals,105,0.7,1.333333333
Carson Seymour,San Francisco Giants,105.1,0.7,1.3320647
Adam Macko,Toronto Blue Jays,75.1,0.5,1.331557923
Felipe De La Cruz,New York Mets,75.1,0.5,1.331557923
Yennier Cano,Baltimore Orioles,60.1,0.4,1.331114809
Marcus Stroman,#N/A,90.2,0.6,1.33037694
Hunter Owen,Kansas City Royals,90.2,0.6,1.33037694
Huascar Brazobán,New York Mets,60.2,0.4,1.328903654
Bennett Sousa,Houston Astros,45.2,0.3,1.327433628
Kade Morris,Arizona Diamondbacks,136.1,0.9,1.322556943
Kyle Hart,San Diego Padres,106.1,0.7,1.319509896
Chris Murphy,Chicago Cubs,76.2,0.5,1.312335958
Andrew Heaney,#N/A,122.2,0.8,1.309328969
Mason Fluharty,Toronto Blue Jays,61.1,0.4,1.309328969
Hogan Harris,Arizona Diamondbacks,92,0.6,1.304347826
Shawn Dubin,#N/A,46,0.3,1.304347826
Hayden Wesneski,Houston Astros,77.1,0.5,1.297016861
Bryce Mayer,Houston Astros,77.1,0.5,1.297016861
Eduardo Rivera,Boston Red Sox,77.1,0.5,1.297016861
Jeff Criswell,Colorado Rockies,77.1,0.5,1.297016861
Jose Fleury,Houston Astros,77.1,0.5,1.297016861
Yorman Gómez,Cleveland Guardians,108,0.7,1.296296296
Will Sanders,Chicago Cubs,108.1,0.7,1.295097132
Wes Benjamin,#N/A,108.1,0.7,1.295097132
Kyle Tyler,#N/A,93,0.6,1.290322581
Robert Stephenson,Los Angeles Angels,31,0.2,1.290322581
River Ryan,Los Angeles Dodgers,62.1,0.4,1.288244767
Eric Orze,Minnesota Twins,62.1,0.4,1.288244767
Peyton Gray,Texas Rangers,62.2,0.4,1.286173633
Randy Vásquez,San Diego Padres,125,0.8,1.28
Chayce McDermott,Los Angeles Dodgers,78.2,0.5,1.278772379
John Klein,Minnesota Twins,94.1,0.6,1.275239107
Ixan Henderson,St. Louis Cardinals,110,0.7,1.272727273
Keegan Akin,Baltimore Orioles,63.2,0.4,1.265822785
Michael Lorenzen,Colorado Rockies,127.2,0.8,1.257861635
Jackson Wolf,San Diego Padres,112,0.7,1.25
Vince Velasquez,Chicago Cubs,64,0.4,1.25
Blake Treinen,Los Angeles Dodgers,32,0.2,1.25
Spencer Turnbull,#N/A,64.1,0.4,1.248049922
Drew Pomeranz,Los Angeles Angels,48.1,0.3,1.247401247
Pierce Johnson,Cincinnati Reds,48.1,0.3,1.247401247
Jonathan Bowlan,Philadelphia Phillies,80.2,0.5,1.246882793
Billy Corcoran,Arizona Diamondbacks,80.2,0.5,1.246882793
Kody Funderburk,Minnesota Twins,64.2,0.4,1.246105919
Jaden Hill,Colorado Rockies,48.2,0.3,1.244813278
Luis García,Minnesota Twins,48.2,0.3,1.244813278
Trevor McDonald,San Francisco Giants,129.2,0.8,1.238390093
Chandler Champlain,Washington Nationals,113.1,0.7,1.237842617
Travis Adams,Minnesota Twins,97,0.6,1.237113402
Sean Sullivan,Colorado Rockies,97.1,0.6,1.235839341
Ben Casparius,Los Angeles Dodgers,81,0.5,1.234567901
Jared Shuster,St. Louis Cardinals,81,0.5,1.234567901
Brad Keller,Philadelphia Phillies,81,0.5,1.234567901
Luinder Avila,Kansas City Royals,81.1,0.5,1.233045623
Ricky Castro,Minnesota Twins,81.2,0.5,1.231527094
Anders Tolhurst,#N/A,65,0.4,1.230769231
Dax Fulton,Miami Marlins,98,0.6,1.224489796
Tyler Phillips,Miami Marlins,98.1,0.6,1.22324159
Brandon Williamson,Cincinnati Reds,82,0.5,1.219512195
Robinson Piña,#N/A,82,0.5,1.219512195
Tommy Nance,Toronto Blue Jays,49.2,0.3,1.219512195
Jordan Balazovic,#N/A,66.1,0.4,1.210287443
Ryan Lobus,Texas Rangers,66.2,0.4,1.208459215
Moisés Chace,Philadelphia Phillies,66.2,0.4,1.208459215
Dylan Ray,Arizona Diamondbacks,116,0.7,1.206896552
Michael Kopech,#N/A,83.1,0.5,1.203369434
Randy Dobnak,Seattle Mariners,100.1,0.6,1.198801199
Brett Sears,Atlanta Braves,100.2,0.6,1.19760479
Jason Adam,San Diego Padres,50.1,0.3,1.19760479
Caden Dana,Los Angeles Angels,117.1,0.7,1.195559351
Andrew Kittredge,Baltimore Orioles,50.2,0.3,1.195219124
Nick Mears,Kansas City Royals,50.2,0.3,1.195219124
Freddy Tarnok,#N/A,67.1,0.4,1.192250373
Ben Lively,Cleveland Guardians,84.2,0.5,1.187648456
Germán Márquez,San Diego Padres,118.2,0.7,1.184433164
Josh Trentadue,Texas Rangers,68,0.4,1.176470588
Hayden Mullins,Boston Red Sox,85.2,0.5,1.17370892
José De León,#N/A,68.2,0.4,1.173020528
Will Watson,New York Mets,103,0.6,1.165048544
Thomas Hatch,Arizona Diamondbacks,103.2,0.6,1.162790698
Blake Adams,Colorado Rockies,86.1,0.5,1.161440186
Levi Wells,Baltimore Orioles,86.2,0.5,1.160092807
Garrett Burhenn,Detroit Tigers,104.1,0.6,1.152737752
Yu-Min Lin,Arizona Diamondbacks,104.1,0.6,1.152737752
Steven Cruz,Kansas City Royals,52.1,0.3,1.151631478
Anthony Nunez,Baltimore Orioles,52.1,0.3,1.151631478
Jose Franco,Cincinnati Reds,87,0.5,1.149425287
Brody Hopkins,Tampa Bay Rays,105,0.6,1.142857143
Jaxon Wiggins,Chicago Cubs,70,0.4,1.142857143
Robert Stock,New York Mets,70,0.4,1.142857143
Trenton Wallace,Toronto Blue Jays,70,0.4,1.142857143
Fernando Perez,Toronto Blue Jays,105.1,0.6,1.141769743
Ryan Yarbrough,New York Yankees,70.2,0.4,1.13960114
Adam Laskey,Colorado Rockies,70.2,0.4,1.13960114
José Quijada,#N/A,35.1,0.2,1.13960114
Luis De León,Baltimore Orioles,88,0.5,1.136363636
Josh Sborz,Texas Rangers,35.2,0.2,1.136363636
Matt Waldron,San Diego Padres,106,0.6,1.132075472
Yerry De los Santos,New York Yankees,53.1,0.3,1.129943503
Grant Wolfram,Baltimore Orioles,53.2,0.3,1.127819549
Rodney Boone,Cleveland Guardians,71,0.4,1.126760563
Cory Abbott,#N/A,71.2,0.4,1.123595506
Garrett Stallings,Milwaukee Brewers,89.1,0.5,1.122334456
Landon Harper,Atlanta Braves,89.1,0.5,1.122334456
Blake Beers,Arizona Diamondbacks,89.1,0.5,1.122334456
Ty Cummings,Seattle Mariners,107.2,0.6,1.119402985
Reid VanScoter,Seattle Mariners,90,0.5,1.111111111
Prelander Berroa,Chicago Cubs,54,0.3,1.111111111
Ryan Brasier,Texas Rangers,36,0.2,1.111111111
Tyler Anderson,Los Angeles Angels,126.1,0.7,1.110229976
Trystan Vrieling,San Francisco Giants,90.2,0.5,1.10864745
Dedniel Núñez,New York Mets,36.2,0.2,1.104972376
Wilking Rodríguez,#N/A,18.1,0.1,1.104972376
Jacob Miller,Miami Marlins,109,0.6,1.100917431
Ian Mejia,Atlanta Braves,109.1,0.6,1.099908341
Osvaldo Bido,Chicago Cubs,91.2,0.5,1.096491228
Julian Aguiar,Cincinnati Reds,91.2,0.5,1.096491228
Yariel Rodríguez,Toronto Blue Jays,73,0.4,1.095890411
Dallas Keuchel,#N/A,55,0.3,1.090909091
Cameron Foster,Baltimore Orioles,55.2,0.3,1.086956522
Anthony Banda,Minnesota Twins,55.2,0.3,1.086956522
Caleb Ferguson,Cincinnati Reds,55.2,0.3,1.086956522
Lyon Richardson,Cincinnati Reds,74,0.4,1.081081081
Paul Sewald,Arizona Diamondbacks,37,0.2,1.081081081
Tyler Samaniego,Boston Red Sox,37,0.2,1.081081081
Nic Enright,Toronto Blue Jays,37.1,0.2,1.078167116
Luis Gastelum,St. Louis Cardinals,56.2,0.3,1.067615658
Ty Blach,Chicago Cubs,76,0.4,1.052631579
Tyler Gilbert,Chicago Cubs,57,0.3,1.052631579
José Fermin,Los Angeles Angels,57.1,0.3,1.050788091
Nick Raquet,Baltimore Orioles,57.1,0.3,1.050788091
Sean Sullivan,Colorado Rockies,76.2,0.4,1.049868766
Bowden Francis,Toronto Blue Jays,76.2,0.4,1.049868766
Reed Garrett,New York Mets,38.1,0.2,1.049868766
Joe Jiménez,Atlanta Braves,38.1,0.2,1.049868766
Cameron Weston,Baltimore Orioles,115,0.6,1.043478261
Valente Bellozo,Colorado Rockies,96,0.5,1.041666667
Tyler Schweitzer,Chicago Cubs,96.2,0.5,1.03950104
Nick Dombkowski,Pittsburgh Pirates,77.1,0.4,1.037613489
Beau Brieske,Detroit Tigers,58,0.3,1.034482759
David Buchanan,#N/A,97,0.5,1.030927835
Eiberson Castellano,Colorado Rockies,58.2,0.3,1.030927835
Ryan Fernandez,St. Louis Cardinals,58.2,0.3,1.030927835
Kenta Maeda,#N/A,97.1,0.5,1.029866117
Chase Solesky,Tampa Bay Rays,97.2,0.5,1.028806584
Connor Phillips,Cincinnati Reds,78,0.4,1.025641026
Jonathan Loáisiga,Arizona Diamondbacks,39.1,0.2,1.023017903
Carter Baumler,Texas Rangers,39.1,0.2,1.023017903
Yimi García,Toronto Blue Jays,39.2,0.2,1.020408163
Trey Supak,Texas Rangers,98.1,0.5,1.019367992
Chuck King,Philadelphia Phillies,98.2,0.5,1.018329939
Luke Russo,Philadelphia Phillies,59,0.3,1.016949153
PJ Poulin,Washington Nationals,59.1,0.3,1.015228426
Isaac Mattson,Pittsburgh Pirates,59.2,0.3,1.013513514
Connor Seabold,Detroit Tigers,79.1,0.4,1.011378003
Pete Hansen,St. Louis Cardinals,119,0.6,1.008403361
Miguel Ullola,Houston Astros,99.2,0.5,1.008064516
Tristan Beck,San Francisco Giants,80,0.4,1
Chase Lee,Toronto Blue Jays,60,0.3,1
Brock Burke,Cincinnati Reds,60,0.3,1
Bryan King,Houston Astros,60,0.3,1
Greg Weissert,Boston Red Sox,60,0.3,1
Anthony Molina,Atlanta Braves,100.1,0.5,0.999000999
Christian MacLeod,#N/A,80.1,0.4,0.998751561
Max Kranick,#N/A,40.1,0.2,0.997506234
Jalen Beeks,Texas Rangers,60.2,0.3,0.996677741
Trent Sellers,New York Yankees,81.1,0.4,0.986436498
Walker Powell,#N/A,61,0.3,0.983606557
Griffin Canning,San Diego Padres,102,0.5,0.980392157
Porter Hodge,Chicago Cubs,61.2,0.3,0.980392157
Ian Gibaut,#N/A,41,0.2,0.975609756
Franco Aleman,Cleveland Guardians,41,0.2,0.975609756
Aaron Wilkerson,#N/A,123.2,0.6,0.974025974
Mitch Myers,Arizona Diamondbacks,82.2,0.4,0.97323601
JP Sears,San Diego Padres,144.1,0.7,0.971547536
Davis Daniel,Cincinnati Reds,103,0.5,0.970873786
Ryan Webb,Cleveland Guardians,103,0.5,0.970873786
Josh Maciejewski,#N/A,62,0.3,0.967741935
Bryan Mata,#N/A,62,0.3,0.967741935
Brendon Little,Toronto Blue Jays,62.1,0.3,0.966183575
Erick Fedde,Chicago White Sox,125,0.6,0.96
Jack Kochanowicz,Los Angeles Angels,125.2,0.6,0.958466454
Max Alba,Detroit Tigers,84,0.4,0.952380952
Andry Lara,Washington Nationals,84,0.4,0.952380952
Sam Moll,Cincinnati Reds,42,0.2,0.952380952
Walker Buehler,San Diego Padres,106.1,0.5,0.942507069
Cole Wilcox,Seattle Mariners,85,0.4,0.941176471
Tony Santillan,Cincinnati Reds,64.1,0.3,0.936037441
Miles Mikolas,Washington Nationals,129,0.6,0.930232558
Rafael Sanchez,Toronto Blue Jays,86,0.4,0.930232558
James Gonzalez,Arizona Diamondbacks,86.1,0.4,0.929152149
Kai-Wei Teng,Houston Astros,86.1,0.4,0.929152149
Brandon Waddell,New York Mets,86.2,0.4,0.928074246
Ricky Vanasco,Detroit Tigers,43.2,0.2,0.925925926
Zach Thompson,#N/A,65.1,0.3,0.921658986
Tyler Rogers,Toronto Blue Jays,65.2,0.3,0.920245399
Jack Cushing,#N/A,87,0.4,0.91954023
Dom Hamel,New York Yankees,87.1,0.4,0.918484501
Trent Baker,Minnesota Twins,88,0.4,0.909090909
Nick Zwack,San Francisco Giants,66,0.3,0.909090909
Erik Sabrowski,Cleveland Guardians,44,0.2,0.909090909
TJ Shook,Colorado Rockies,66.1,0.3,0.907715582
Randy Wynne,#N/A,66.1,0.3,0.907715582
Jaden Hamm,Detroit Tigers,88.2,0.4,0.907029478
Cole Sulser,Tampa Bay Rays,44.1,0.2,0.907029478
Cam Booser,Tampa Bay Rays,44.2,0.2,0.904977376
Liam Hendriks,#N/A,22.1,0.1,0.904977376
Spencer Miles,Toronto Blue Jays,22.2,0.1,0.900900901
Peter Solomon,#N/A,67,0.3,0.895522388
Jared Lyons,Cincinnati Reds,67.2,0.3,0.892857143
Rorik Maltrud,Cleveland Guardians,67.2,0.3,0.892857143
Jackson Rutledge,Washington Nationals,90.1,0.4,0.887902331
Edgardo Henriquez,Los Angeles Dodgers,45.2,0.2,0.884955752
Jake Bloss,Toronto Blue Jays,68.1,0.3,0.881057269
José Buttó,San Francisco Giants,68.2,0.3,0.879765396
Carson Fulmer,Pittsburgh Pirates,68.2,0.3,0.879765396
Jose Gonzalez,Los Angeles Angels,91.1,0.4,0.878155873
Codi Heuer,Cleveland Guardians,46,0.2,0.869565217
Elvis Peguero,Baltimore Orioles,46,0.2,0.869565217
Anthony Bender,Miami Marlins,46,0.2,0.869565217
Lucas Gordon,Chicago Cubs,92.2,0.4,0.867678959
Antonio Santos,#N/A,69.2,0.3,0.867052023
Richard Lovelady,Washington Nationals,46.2,0.2,0.865800866
Josh Staumont,Cincinnati Reds,23.1,0.1,0.865800866
Marco Raya,Minnesota Twins,93,0.4,0.860215054
Bryce Jarvis,Arizona Diamondbacks,93,0.4,0.860215054
Lael Lockhart,Detroit Tigers,93.2,0.4,0.858369099
Derek Diamond,Pittsburgh Pirates,70.1,0.3,0.855920114
Hunter Patteson,Kansas City Royals,94,0.4,0.85106383
Colin Holderman,Cleveland Guardians,47,0.2,0.85106383
Carlos Peña,Detroit Tigers,94.2,0.4,0.8492569
Mike Clevinger,Pittsburgh Pirates,94.2,0.4,0.8492569
Brennan Bernardino,Colorado Rockies,47.1,0.2,0.8492569
Hayden Harris,Atlanta Braves,47.1,0.2,0.8492569
Fraser Ellard,#N/A,47.2,0.2,0.847457627
Austin Pope,Atlanta Braves,47.2,0.2,0.847457627
Adam Ottavino,#N/A,47.2,0.2,0.847457627
Jackson Ferris,Los Angeles Dodgers,118.1,0.5,0.846740051
T.J. Sikkema,Boston Red Sox,71,0.3,0.845070423
Matt Svanson,St. Louis Cardinals,71.2,0.3,0.842696629
Andrew Sears,Detroit Tigers,95.1,0.4,0.841219769
Kyle Luckham,Washington Nationals,119.1,0.5,0.839630563
Jose Acuna,Cincinnati Reds,72,0.3,0.833333333
Sam Bachman,Los Angeles Angels,48,0.2,0.833333333
Owen Wild,Tampa Bay Rays,96.1,0.4,0.832466181
Jack Mahoney,Colorado Rockies,96.2,0.4,0.831600832
Ryne Stanek,St. Louis Cardinals,48.1,0.2,0.831600832
Ky Bush,Chicago Cubs,72.2,0.3,0.831024931
Hancel Rincon,St. Louis Cardinals,97.2,0.4,0.823045267
Kyle Nicolas,Cincinnati Reds,73.2,0.3,0.819672131
Jake Miller,Detroit Tigers,49,0.2,0.816326531
Justin Lawrence,Pittsburgh Pirates,49.2,0.2,0.81300813
Kyle Funkhouser,#N/A,49.2,0.2,0.81300813
Matt Bowman,Minnesota Twins,49.2,0.2,0.81300813
Tommy Henry,Arizona Diamondbacks,99,0.4,0.808080808
Carson Palmquist,Colorado Rockies,99.1,0.4,0.807265388
Shintaro Fujinami,#N/A,50,0.2,0.8
Kyle Backhus,Philadelphia Phillies,50,0.2,0.8
Nico Tellache,Seattle Mariners,75.1,0.3,0.798934754
Thaddeus Ward,#N/A,100.2,0.4,0.798403194
Michael Knorr,Houston Astros,50.1,0.2,0.798403194
Spencer Giesting,Arizona Diamondbacks,126,0.5,0.793650794
Joey Lucchesi,Los Angeles Angels,76,0.3,0.789473684
Trevor Martin,Tampa Bay Rays,76.2,0.3,0.787401575
Adisyn Coffey,Chicago Cubs,51,0.2,0.784313725
Austin Warren,New York Mets,51.2,0.2,0.78125
Victor Mederos,Atlanta Braves,103.1,0.4,0.775945684
Jake Irvin,Washington Nationals,156.1,0.6,0.768737988
Casey Lawrence,Seattle Mariners,104.2,0.4,0.767754319
Joel Payamps,Atlanta Braves,52.1,0.2,0.767754319
Gus Varland,Washington Nationals,52.1,0.2,0.767754319
Tim Hill,New York Yankees,52.1,0.2,0.767754319
Brendan Girton,New York Mets,78.2,0.3,0.767263427
Blane Abeyta,Atlanta Braves,78.2,0.3,0.767263427
Alonzo Tredwell,Houston Astros,79.1,0.3,0.758533502
Riley Cornelio,Washington Nationals,106,0.4,0.754716981
Jose Espada,Baltimore Orioles,53,0.2,0.754716981
Kyle Finnegan,Detroit Tigers,53,0.2,0.754716981
John King,Miami Marlins,53,0.2,0.754716981
Kyle Carr,New York Yankees,106.1,0.4,0.754005655
Kyle Robinson,Arizona Diamondbacks,106.2,0.4,0.753295669
Beau Burrows,Pittsburgh Pirates,53.2,0.2,0.751879699
Tyson Guerrero,Kansas City Royals,81,0.3,0.740740741
Evan Sisk,Pittsburgh Pirates,54,0.2,0.740740741
Calvin Faucher,Miami Marlins,54,0.2,0.740740741
Jean Cabrera,Philadelphia Phillies,108.2,0.4,0.739371534
Jason Alexander,Houston Astros,109.2,0.4,0.732600733
Brock Selvidge,New York Yankees,82,0.3,0.731707317
Wyatt Crowell,Los Angeles Dodgers,82.1,0.3,0.730816078
Sam Carlson,Houston Astros,55.1,0.2,0.725952813
Yilber Díaz,Arizona Diamondbacks,83.2,0.3,0.721153846
Hoby Milner,Chicago Cubs,56,0.2,0.714285714
Joe Ross,Arizona Diamondbacks,56,0.2,0.714285714
Dylan DeLucia,Cleveland Guardians,84.1,0.3,0.713436385
Blake Walston,Arizona Diamondbacks,84.1,0.3,0.713436385
RJ Petit,Colorado Rockies,56.1,0.2,0.713012478
Zach McCambley,Miami Marlins,56.1,0.2,0.713012478
Trent Harris,San Francisco Giants,56.1,0.2,0.713012478
Phil Maton,Chicago Cubs,56.2,0.2,0.711743772
Evan McKendry,Miami Marlins,85.1,0.3,0.705052879
Taijuan Walker,#N/A,114,0.4,0.701754386
Carlos Estévez,Kansas City Royals,57,0.2,0.701754386
Hayden Juenger,Toronto Blue Jays,57,0.2,0.701754386
Victor Vodnik,Colorado Rockies,57,0.2,0.701754386
Wade Miley,#N/A,57.1,0.2,0.700525394
Anthony DeSclafani,#N/A,57.2,0.2,0.699300699
Dalton Rogers,Boston Red Sox,87,0.3,0.689655172
Casey Legumina,Tampa Bay Rays,58,0.2,0.689655172
Alex Cornwell,St. Louis Cardinals,87.1,0.3,0.688863375
David Morgan,San Diego Padres,58.1,0.2,0.688468158
Drew Sommers,Detroit Tigers,58.2,0.2,0.687285223
Josiah Gray,Washington Nationals,117.2,0.4,0.682593857
Dakota Hudson,#N/A,117.2,0.4,0.682593857
Derek Law,Arizona Diamondbacks,59,0.2,0.677966102
Charlie Morton,#N/A,120,0.4,0.666666667
Karson Milbrandt,Miami Marlins,90.1,0.3,0.665926748
John Michael Bertrand,San Francisco Giants,120.2,0.4,0.665557404
José Rodríguez,Los Angeles Dodgers,60.2,0.2,0.664451827
Yosver Zulueta,Seattle Mariners,60.2,0.2,0.664451827
Enyel De Los Santos,Houston Astros,60.2,0.2,0.664451827
Jack Choate,San Francisco Giants,91,0.3,0.659340659
Welinton Herrera,Colorado Rockies,61.2,0.2,0.653594771
Tyler Ferguson,Arizona Diamondbacks,61.2,0.2,0.653594771
Sam Aldegheri,Los Angeles Angels,123,0.4,0.650406504
