Name,Team,IP,WAR,war_per_200
Nick Martinez,Tampa Bay Rays,138.2,2.1,3.039073806
Alex Cobb,#N/A,92.2,1.4,3.036876356
David Peterson,New York Mets,145.1,2.2,3.032391454
Michael Wacha,Kansas City Royals,145.1,2.2,3.032391454
Reid Detmers,Los Angeles Angels,112.2,1.7,3.03030303
Steven Matz,Tampa Bay Rays,66,1,3.03030303
Jacob Lopez,Athletics,106.1,1.6,3.01602262
Danny Coulombe,Boston Red Sox,40,0.6,3
Simeon Woods Richardson,Minnesota Twins,127.2,1.9,2.987421384
Chris Martin,Texas Rangers,40.2,0.6,2.985074627
Patrick Sandoval,Boston Red Sox,87.2,1.3,2.981651376
Taj Bradley,Minnesota Twins,148,2.2,2.972972973
Bailey Ober,Minnesota Twins,148.2,2.2,2.968960864
Louis Varland,Toronto Blue Jays,108.2,1.6,2.957486137
Clarke Schmidt,New York Yankees,88,1.3,2.954545455
Josh Hader,Houston Astros,54.2,0.8,2.95202952
Tanner Scott,Los Angeles Dodgers,61.2,0.9,2.941176471
Gage Jump,Athletics,109,1.6,2.935779817
Robby Snelling,Miami Marlins,123,1.8,2.926829268
Cristian Mena,Arizona Diamondbacks,89.1,1.3,2.918069585
Carmen Mlodzinski,Pittsburgh Pirates,103.1,1.5,2.909796314
Joey Cantillo,Cleveland Guardians,103.1,1.5,2.909796314
Matthew Boyd,Chicago Cubs,138,2,2.898550725
Drew Anderson,Detroit Tigers,132.1,1.9,2.87660863
Fernando Cruz,New York Yankees,49,0.7,2.857142857
Nathan Eovaldi,Texas Rangers,105.2,1.5,2.851711027
Mason Englert,Tampa Bay Rays,70.2,1,2.849002849
Brayan Bello,Boston Red Sox,162,2.3,2.839506173
Jeffrey Springs,Athletics,141.1,2,2.834868887
Dietrich Enns,Baltimore Orioles,113.2,1.6,2.826855124
Jordan Wicks,Chicago Cubs,85,1.2,2.823529412
Ethan Pecko,Houston Astros,92.1,1.3,2.823018458
Andrew Morris,Minnesota Twins,99.2,1.4,2.822580645
Gavin Williams,Cleveland Guardians,149.2,2.1,2.815013405
Matt Brash,Seattle Mariners,57,0.8,2.807017544
Rhett Lowder,Cincinnati Reds,107.2,1.5,2.798507463
Tanner Houck,Boston Red Sox,100.2,1.4,2.794411178
Cody Ponce,Toronto Blue Jays,129.1,1.8,2.788536019
Ryan Burr,Toronto Blue Jays,36.1,0.5,2.770083102
Will Vest,Detroit Tigers,65,0.9,2.769230769
Brandon Pfaadt,Arizona Diamondbacks,159.2,2.2,2.763819095
Bryce Miller,Seattle Mariners,123.1,1.7,2.761982128
Ty Johnson,Tampa Bay Rays,94.2,1.3,2.760084926
Ryan Helsley,Baltimore Orioles,58,0.8,2.75862069
Will Warren,New York Yankees,138,1.9,2.753623188
Clayton Kershaw,#N/A,109,1.5,2.752293578
Foster Griffin,Washington Nationals,87.2,1.2,2.752293578
AJ Smith-Shawver,Atlanta Braves,80.2,1.1,2.743142145
Brandon Sproat,Milwaukee Brewers,124,1.7,2.741935484
Mitch Keller,Pittsburgh Pirates,161,2.2,2.732919255
Luis Severino,Athletics,139.1,1.9,2.731847592
Sam Hentges,San Francisco Giants,44.1,0.6,2.721088435
Casey Mize,Detroit Tigers,125.1,1.7,2.717825739
Nick Pivetta,San Diego Padres,155,2.1,2.709677419
Sawyer Gipson-Long,Detroit Tigers,74.2,1,2.69541779
Félix Bautista,Baltimore Orioles,37.1,0.5,2.69541779
Shane Baz,Baltimore Orioles,141.1,1.9,2.693125443
Shane Smith,Chicago White Sox,141.2,1.9,2.69121813
Jared Jones,Pittsburgh Pirates,97.1,1.3,2.677651905
Mike Burrows,Houston Astros,112.2,1.5,2.673796791
Brant Hurter,Detroit Tigers,90.1,1.2,2.663706992
Joe Musgrove,San Diego Padres,90.2,1.2,2.66075388
Alex Vesia,Los Angeles Dodgers,60.2,0.8,2.657807309
Didier Fuentes,Atlanta Braves,91.2,1.2,2.631578947
Cody Bradford,Texas Rangers,76,1,2.631578947
Landen Roupp,San Francisco Giants,99.1,1.3,2.623612513
Janson Junk,Miami Marlins,122,1.6,2.62295082
Justin Hagenman,New York Mets,84.1,1.1,2.615933413
Brusdar Graterol,Los Angeles Dodgers,46.1,0.6,2.603036876
Jedixson Paez,Boston Red Sox,77.2,1,2.590673575
Cade Horton,Chicago Cubs,124.1,1.6,2.578565673
Andrés Muñoz,Seattle Mariners,62.1,0.8,2.576489533
Matthew Liberatore,St. Louis Cardinals,132,1.7,2.575757576
Cade Cavalli,Washington Nationals,101,1.3,2.574257426
Orion Kerkering,Philadelphia Phillies,62.2,0.8,2.572347267
Yusei Kikuchi,Los Angeles Angels,148.1,1.9,2.565833896
Cade Povich,Baltimore Orioles,125.2,1.6,2.555910543
Hunter Barco,Pittsburgh Pirates,86.2,1.1,2.552204176
Justin Wrobleski,Los Angeles Dodgers,110,1.4,2.545454545
Brandon Walter,Houston Astros,71,0.9,2.535211268
Tyler Mahle,San Francisco Giants,87.1,1.1,2.525832377
Max Scherzer,Toronto Blue Jays,95.1,1.2,2.523659306
Brian Van Belle,Tampa Bay Rays,103.1,1.3,2.521823472
Johan Oviedo,Boston Red Sox,95.2,1.2,2.521008403
Pierson Ohl,Colorado Rockies,95.2,1.2,2.521008403
Kodai Senga,New York Mets,127.1,1.6,2.517702596
Nolan McLean,New York Mets,144,1.8,2.5
Leandro Lopez,Texas Rangers,88,1.1,2.5
Jared Koenig,Milwaukee Brewers,72,0.9,2.5
Brent Headrick,New York Yankees,64,0.8,2.5
Ryan Pepiot,Tampa Bay Rays,144.1,1.8,2.498265094
Luis Morales,Athletics,120.1,1.5,2.497918401
Drew Rom,Milwaukee Brewers,72.2,0.9,2.493074792
Ryan Walker,San Francisco Giants,64.2,0.8,2.492211838
Camilo Doval,New York Yankees,64.2,0.8,2.492211838
Garrett Cleavinger,Tampa Bay Rays,56.2,0.7,2.491103203
Zack Littell,Washington Nationals,153.1,1.9,2.482037884
Shota Imanaga,Chicago Cubs,137,1.7,2.481751825
Mitch Bratt,Arizona Diamondbacks,113,1.4,2.477876106
Troy Melton,Detroit Tigers,105.1,1.3,2.473834443
Joe Boyle,Tampa Bay Rays,113.2,1.4,2.473498233
Michael McGreevy,St. Louis Cardinals,154,1.9,2.467532468
Merrill Kelly,Arizona Diamondbacks,154,1.9,2.467532468
Josh Winckowski,Toronto Blue Jays,81.2,1,2.463054187
Mick Abel,Minnesota Twins,122.1,1.5,2.457002457
Forrest Whitley,#N/A,57,0.7,2.456140351
Michael Grove,Tampa Bay Rays,57.2,0.7,2.447552448
Mason Montgomery,Pittsburgh Pirates,82.1,1,2.436053593
Ronny Henriquez,Miami Marlins,74.2,0.9,2.425876011
Ben Hess,New York Yankees,99,1.2,2.424242424
Graham Ashcraft,Cincinnati Reds,66,0.8,2.424242424
Robert Garcia,Texas Rangers,58.1,0.7,2.409638554
Yordanny Monegro,Boston Red Sox,75.2,0.9,2.393617021
Gavin Stone,Los Angeles Dodgers,92.2,1.1,2.386117137
John Holobetz,Boston Red Sox,109.2,1.3,2.380952381
Quinn Priester,Milwaukee Brewers,143,1.7,2.377622378
Kendry Rojas,Minnesota Twins,84.2,1,2.375296912
Luis Castillo,Seattle Mariners,160.2,1.9,2.372034956
Justin Martinez,Arizona Diamondbacks,59.1,0.7,2.368866328
Kyle Freeland,Colorado Rockies,135.2,1.6,2.366863905
Brendan Beck,New York Yankees,110.1,1.3,2.361489555
Coleman Crow,Milwaukee Brewers,85,1,2.352941176
Abner Uribe,Milwaukee Brewers,68,0.8,2.352941176
Chad Patrick,Milwaukee Brewers,136.1,1.6,2.351212344
Braxton Bragg,Baltimore Orioles,68.1,0.8,2.34948605
Blade Tidwell,San Francisco Giants,103.1,1.2,2.327837051
Edward Cabrera,Chicago Cubs,129.1,1.5,2.323780015
Ryan Weathers,New York Yankees,86.1,1,2.322880372
Stephen Kolek,Kansas City Royals,129.2,1.5,2.321981424
Kyle Harrison,Milwaukee Brewers,112,1.3,2.321428571
Zach Eflin,Baltimore Orioles,121,1.4,2.314049587
Ian Seymour,Tampa Bay Rays,121.1,1.4,2.312138728
Lucas Braun,Atlanta Braves,130,1.5,2.307692308
Eduardo Rodriguez,Arizona Diamondbacks,130.2,1.5,2.304147465
K.C. Hunt,Tampa Bay Rays,104.2,1.2,2.303262956
Jose A. Ferrer,Seattle Mariners,70.2,0.8,2.279202279
Connor Prielipp,Minnesota Twins,79.1,0.9,2.275600506
Tekoah Roby,St. Louis Cardinals,79.1,0.9,2.275600506
Noah Cameron,Kansas City Royals,141.2,1.6,2.266288952
Dustin May,St. Louis Cardinals,115,1.3,2.260869565
Davis Martin,Chicago White Sox,124.1,1.4,2.256244964
Luis Perales,Washington Nationals,53.2,0.6,2.255639098
Evan Phillips,Los Angeles Dodgers,53.2,0.6,2.255639098
Jakob Junis,Texas Rangers,71,0.8,2.253521127
Will Dion,Cleveland Guardians,98,1.1,2.244897959
Bryce Elder,Atlanta Braves,152,1.7,2.236842105
Keaton Winn,San Francisco Giants,63,0.7,2.222222222
DL Hall,Milwaukee Brewers,63,0.7,2.222222222
Andre Pallante,St. Louis Cardinals,135.2,1.5,2.218934911
Christian Scott,New York Mets,63.2,0.7,2.215189873
Caleb Thielbar,Chicago Cubs,45.2,0.5,2.212389381
Ryan Weiss,Houston Astros,136,1.5,2.205882353
Andrew Painter,Philadelphia Phillies,109.2,1.2,2.197802198
José Suarez,Atlanta Braves,82.1,0.9,2.192448234
Chris Bassitt,Baltimore Orioles,155.1,1.7,2.192134107
Sammy Peralta,Colorado Rockies,73.1,0.8,2.18878249
Dennis Santana,Pittsburgh Pirates,64,0.7,2.1875
Nick Margevicius,San Francisco Giants,64.1,0.7,2.184087363
Jordan Montgomery,Texas Rangers,101,1.1,2.178217822
J.T. Ginn,Athletics,101,1.1,2.178217822
David Davalillo,Texas Rangers,101,1.1,2.178217822
Dean Kremer,Baltimore Orioles,147,1.6,2.176870748
Thomas White,Miami Marlins,101.1,1.1,2.176063304
Sean Manaea,New York Mets,101.2,1.1,2.173913043
Cristian Javier,Houston Astros,92.1,1,2.17155266
